Generation; Survival State; Survival Chance; Total Food; Hardiness over Speed; Generosity; Was Generous
6; DIED; 36,54333; 0; 0,4744668; 0,5068633; False
6; DIED; 36,76788; 0; 0,480467; 0,3962683; False
6; DIED; 44,53101; 0; 0,6978143; 0,5750008; False
6; DIED; 42,02081; 1; 0,3335131; 0,4217527; False
6; DIED; 38,21732; 0; 0,5191378; 0,4899389; False
6; DIED; 40,76332; 0; 0,5879282; 0,4743479; False
6; DIED; 34,94667; 0; 0,4314823; 0,4013501; False
6; DIED; 73,0307; 1; 0,4999298; 0,5347158; False
6; DIED; 77,32914; 1; 0,6166725; 0,5399055; False
6; DIED; 35,85688; 0; 0,4560705; 0,6481614; False
6; DIED; 72,91023; 1; 0,4967171; 0,4333437; False
6; DIED; 68,07762; 1; 0,3645329; 0,3476382; False
6; DIED; 72,1936; 1; 0,477592; 0,2486879; False
6; DIED; 74,13739; 1; 0,5294757; 0,6102234; False
7; DIED; 39,4221; 0; 0,5514374; 0,3637827; False
7; DIED; 36,02324; 0; 0,4605378; 0,4450457; False
7; DIED; 74,96069; 1; 0,5515789; 0,3129188; False
7; DIED; 41,43945; 0; 0,6066703; 0,4857616; False
7; DIED; 31,9529; 0; 0,3473329; 0,1267398; False
7; DIED; 28,33247; 0; 0,228994; 0,4446352; False
7; DIED; 67,43427; 1; 0,3458033; 0,4468019; False
7; DIED; 66,78171; 1; 0,3263024; 0,6496008; False
7; DIED; 69,86447; 1; 0,4146685; 0,4597778; False
7; DIED; 71,5267; 1; 0,4597359; 0,3959833; False
7; DIED; 72,57135; 1; 0,4876779; 0,4750542; False
7; DIED; 38,20742; 0; 0,5188735; 0,431592; False
7; DIED; 40,05185; 0; 0,5684776; 0,5313433; False
7; DIED; 66,05276; 1; 0,3037776; 0,6222566; False
7; DIED; 45,9564; 0; 0,7451475; 0,4343173; False
7; DIED; 38,31875; 0; 0,5218472; 0,6979443; False
7; DIED; 34,34475; 0; 0,4150422; 0,4510301; False
7; DIED; 73,32185; 1; 0,5076943; 0,3999703; False
7; DIED; 40,56197; 1; 0,2880725; 0,5667176; True
7; DIED; 69,73894; 1; 0,4112163; 0,4538527; False
8; DIED; 35,83183; 0; 0,4553971; 0,4691479; False
8; DIED; 29,59332; 0; 0,2737036; 0,6985047; False
8; DIED; 36,96682; 0; 0,4857779; 0,4590456; False
8; DIED; 76,73656; 1; 0,6000898; 0,4142019; False
8; DIED; 65,83935; 1; 0,2970078; 0,5807022; False
8; DIED; 65,91695; 1; 0,2994794; 0,5578609; False
8; DIED; 29,22776; 0; 0,2612649; 0,714275; False
8; DIED; 34,99737; 0; 0,4328597; 0,6886194; False
8; DIED; 76,17057; 1; 0,5844631; 0,7662147; False
8; DIED; 71,27094; 1; 0,4528631; 0,6443534; False
8; DIED; 63,15347; 1; 0,2008379; 0,5450614; False
8; DIED; 70,22131; 1; 0,4244374; 0,3783344; False
8; DIED; 75,23516; 1; 0,5589891; 0,4294221; False
8; DIED; 65,84643; 1; 0,2972338; 0,658491; False
8; DIED; 38,47162; 0; 0,5259331; 0,3595651; False
8; DIED; 64,23306; 1; 0,2425826; 0,3611914; False
8; DIED; 45,41479; 1; 0,429709; 0,6328336; False
8; DIED; 28,35629; 0; 0,2298922; 0,6084619; False
9; DIED; 52,60682; 1; 0,6245348; 0,3504146; False
9; DIED; 29,8565; 0; 0,2824439; 0,5889137; False
9; DIED; 29,25923; 0; 0,2623504; 0,7112466; False
9; DIED; 46,08251; 1; 0,4477882; 0,3998329; False
9; DIED; 50,99763; 1; 0,5797234; 0,5708353; False
9; DIED; 44,62804; 1; 0,4081593; 0,483394; False
9; DIED; 63,34057; 1; 0,2085004; 0,7068707; False
9; DIED; 31,46863; 0; 0,3329476; 0,5654922; False
9; DIED; 28,64456; 0; 0,2405757; 0,4758037; False
9; DIED; 69,23994; 1; 0,397403; 0,454181; False
9; DIED; 34,45126; 0; 0,4179642; 0,6183199; False
9; DIED; 72,31404; 1; 0,4808094; 0,4883581; False
9; DIED; 69,16156; 1; 0,3952188; 0,4143769; False
9; DIED; 18,42246; 0; 0,663791; 0,316246; False
9; DIED; 67,25139; 1; 0,3403937; 0,4588077; False
9; DIED; 27,32653; 0; 0,1883476; 0,6622187; False
9; DIED; 69,22855; 1; 0,3970857; 0,5393143; False
9; DIED; 66,51848; 1; 0,3182679; 0,5145189; False
9; DIED; 66,31747; 1; 0,3120589; 0; False
9; DIED; 45,35884; 1; 0,4281864; 0,5472698; True
9; DIED; 40,07101; 0; 0,5689983; 0,5179527; False
9; DIED; 44,42827; 0; 0,6945761; 0,6922764; False
9; DIED; 71,91786; 1; 0,4702187; 0,4701759; False
9; DIED; 74,1575; 1; 0,5300138; 0,5788608; False
10; DIED; 70,48731; 1; 0,4316809; 0,5350915; False
10; DIED; 38,23949; 0; 0,51973; 0,6769524; False
10; DIED; 36,54638; 0; 0,4745482; 0,3863988; False
10; DIED; 70,81259; 1; 0,4404992; 0,4836767; False
10; DIED; 65,79689; 1; 0,2956502; 0,6121725; False
10; DIED; 28,04518; 0; 0,2179566; 0,7267787; False
10; DIED; 30,62907; 0; 0,3072229; 0,491017; False
10; DIED; 70,57366; 1; 0,4340259; 0,5025243; False
10; DIED; 31,0738; 0; 0,3209859; 0,5812009; False
10; DIED; 65,58015; 1; 0,288663; 0; False
10; DIED; 67,21208; 1; 0,3392256; 0,3346281; False
10; DIED; 30,32518; 0; 0,2976195; 0,6804523; False
10; DIED; 69,82185; 1; 0,4134973; 0,4470971; False
10; DIED; 72,16951; 1; 0,4769483; 0,5570347; False
10; DIED; 40,65445; 1; 0,2910695; 0,4848769; True
10; DIED; 65,89523; 1; 0,2987891; 0,627466; True
10; DIED; 73,74705; 1; 0,5190415; 0,3760879; False
10; DIED; 30,76851; 0; 0,3115734; 0,6111206; False
11; DIED; 60,56076; 1; 0,01924829; 0,6292471; True
11; DIED; 22,70032; 0; 0,8128262; 0,7061604; False
11; DIED; 46,93845; 0; 0,7814038; 0,7025304; False
11; DIED; 65,35194; 1; 0,2811959; 0,6473609; False
11; DIED; 67,18386; 1; 0,3383858; 0,4178993; False
11; DIED; 40,09132; 0; 0,5695506; 0,7073556; False
11; DIED; 8,154865; 0; 0,3819354; 0,6420711; False
11; DIED; 39,02908; 0; 0,5408666; 0,4407839; False
11; DIED; 64,55416; 1; 0,254052; 0,4891325; False
11; DIED; 63,63648; 1; 0,2202155; 0,7292591; False
11; DIED; 46,68967; 1; 0,4641073; 0,6488776; False
11; DIED; 32,65787; 0; 0,3677956; 0,6375201; False
11; DIED; 14,0625; 0; 0,5417637; 0,5489222; False
11; DIED; 34,9249; 0; 0,4308906; 0,5964983; False
11; DIED; 60,68164; 1; 0,04515211; 0,6486118; False
11; DIED; 44,10181; 0; 0,6844099; 0,6901464; False
11; DIED; 62,92641; 1; 0,1912327; 0; False
11; DIED; 48,60639; 1; 0,5152863; 0,4383897; False
11; DIED; 65,94507; 1; 0,3003725; 0,52248; False
11; DIED; 14,92107; 0; 0,5649269; 0,6865507; False
11; DIED; 27,42974; 0; 0,1928082; 0,6363095; False
11; DIED; 71,47018; 1; 0,4582186; 0,7303001; False
11; DIED; 71,47461; 1; 0,4583375; 0,2438305; False
12; DIED; 69,39017; 1; 0,4015779; 0,2441751; False
12; DIED; 64,97554; 1; 0,2686061; 0,1415543; False
12; DIED; 39,49237; 0; 0,5533322; 0,5110682; False
12; DIED; 34,26539; 0; 0,4128616; 0,3700787; False
12; DIED; 38,58169; 0; 0,5288771; 0,6393782; False
12; DIED; 72,90069; 1; 0,4964626; 0,5852289; False
12; DIED; 33,6249; 0; 0,3951261; 0,6088421; False
12; DIED; 4,251774; 0; 0,2620934; 0,4628979; False
12; DIED; 68,56011; 1; 0,3783114; 0,498577; False
12; DIED; 27,19973; 0; 0,1827537; 0,667767; False
12; DIED; 61,86812; 1; 0,14011; 0,7090784; False
12; DIED; 66,10723; 1; 0,305492; 0,4604082; False
12; DIED; 31,96944; 0; 0,3478192; 0,5733231; False
12; DIED; 70,15599; 1; 0,4226539; 0,6048942; False
12; DIED; 40,62307; 0; 0,5840743; 0,6121665; False
12; DIED; 32,52172; 0; 0,3638835; 0,2976623; False
12; DIED; 66,17844; 1; 0,3077253; 0,6217375; False
12; DIED; 70,91642; 1; 0,4433059; 0,3892108; False
12; DIED; 67,37062; 1; 0,3439251; 0,5513002; False
12; DIED; 69,92803; 1; 0,4164132; 0,4141504; False
12; DIED; 65,84367; 1; 0,2971459; 0,6899482; False
12; DIED; 72,7321; 1; 0,4919663; 0,4722014; False
12; DIED; 64,44806; 1; 0,2503013; 0,6811292; False
13; DIED; 62,59306; 1; 0,1764186; 0,684334; False
13; DIED; 70,14263; 1; 0,4222888; 0,4864164; False
13; DIED; 60,53333; 1; 0; 0,692159; False
13; DIED; 62,65833; 1; 0,1793937; 0,7756488; False
13; DIED; 47,55837; 1; 0,4873316; 0,4819365; False
13; DIED; 68,72824; 1; 0,3830656; 0,5669073; False
13; DIED; 32,92675; 0; 0,3754718; 0,6077204; False
13; DIED; 61,49162; 1; 0,1177522; 0,7550046; False
13; DIED; 43,1913; 0; 0,6569201; 0,6919609; False
13; DIED; 33,57201; 0; 0,3936498; 0,5404596; False
13; DIED; 34,68235; 0; 0,424284; 0,6050369; False
13; DIED; 37,45605; 0; 0,4988281; 0,4703452; False
13; DIED; 62,76869; 1; 0,1843385; 0,7462137; False
13; DIED; 64,27841; 1; 0,2442247; 0,6855649; False
13; DIED; 42,81169; 0; 0,6457756; 0,6587632; False
13; DIED; 64,87579; 1; 0,2652075; 0,615263; False
13; DIED; 68,41102; 1; 0,3740759; 0,5461788; False
13; DIED; 27,36576; 0; 0,1900524; 0,5369093; False
13; DIED; 38,28896; 0; 0,5210515; 0,5426819; False
13; DIED; 66,664; 1; 0,3227227; 0,407075; False
13; DIED; 64,38602; 1; 0,2480908; 0,4284181; False
14; DIED; 25; 0; 0; 0,7775109; False
14; DIED; 67,05476; 1; 0,3345305; 0,4755726; False
14; DIED; 31,34915; 0; 0,3293515; 0,5374532; False
14; DIED; 65,35641; 1; 0,2813433; 0,5625705; False
14; DIED; 66,3935; 1; 0,3144152; 0,5549307; False
14; DIED; 60,70766; 1; 0,04901848; 0,632413; False
14; DIED; 33,37939; 0; 0,3882568; 0,5723386; False
14; DIED; 29,35984; 0; 0,2658016; 0,6638567; False
14; DIED; 73,3599; 1; 0,5087093; 0,5764045; False
14; DIED; 69,11453; 1; 0,3939065; 0,4809299; False
14; DIED; 60,60488; 1; 0,03121154; 0,7046928; False
14; DIED; 65,63779; 1; 0,2905309; 0,683696; False
14; DIED; 32,41853; 0; 0,360906; 0,5345981; False
14; DIED; 30,12199; 0; 0,2910978; 0,6244539; False
14; DIED; 40,2936; 0; 0,5750598; 0,5828677; False
14; DIED; 35,95062; 0; 0,4585885; 0,6036193; False
14; DIED; 72,59265; 1; 0,4882464; 0,5650041; False
14; DIED; 27,31086; 0; 0,1876631; 0,8012964; False
14; DIED; 25,58201; 0; 0,09088812; 0,7015318; False
15; DIED; 61,67802; 1; 0,1292338; 0,7261474; False
15; DIED; 69,66964; 1; 0,4093068; 0,6086948; False
15; DIED; 67,82894; 1; 0,3573455; 0,4765254; False
15; DIED; 36,09355; 0; 0,462424; 0,5152097; False
15; DIED; 35,44734; 0; 0,4450411; 0,4766476; False
15; DIED; 29,02662; 0; 0,2542557; 0,5885571; False
15; DIED; 61,90424; 1; 0,142097; 0,7321842; False
15; DIED; 34,04922; 0; 0,4069035; 0,4367608; False
15; DIED; 28,98305; 0; 0,2527209; 0,6027119; False
15; DIED; 28,33728; 0; 0,2291758; 0,6739664; False
15; DIED; 63,85767; 1; 0,2286867; 0,5782246; False
15; DIED; 62,14629; 1; 0,1548612; 0,604557; False
15; DIED; 25,18467; 0; 0,05047838; 0,9142149; False
15; DIED; 27,48056; 0; 0,1949758; 0,7297293; False
15; DIED; 64,21626; 1; 0,2419728; 0,6555916; False
15; DIED; 72,19615; 1; 0,4776603; 0,5564285; False
15; DIED; 1,039311; 0; 0,1228565; 0,6876057; False
15; DIED; 61,72409; 1; 0,1319391; 0,6015294; False
16; DIED; 41,27169; 1; 0,3106355; 0,5914127; False
16; DIED; 68,17574; 1; 0,367352; 0,3254773; False
16; DIED; 30,7021; 0; 0,3095059; 0,257502; False
16; DIED; 71,67801; 1; 0,4637947; 0,3789397; False
16; DIED; 62,90059; 1; 0,1901172; 0,4834852; False
16; DIED; 34,93651; 0; 0,4312062; 0,4018816; False
16; DIED; 27,63974; 0; 0,2016508; 0,4611807; False
16; DIED; 28,48092; 0; 0,2345524; 0,6038738; False
16; DIED; 71,23734; 1; 0,451959; 0,4064015; False
16; DIED; 63,71996; 1; 0,2234394; 0,4662425; False
16; DIED; 36,95412; 1; 0,1448032; 0,6788205; True
16; DIED; 28,90409; 0; 0,2499232; 0,563214; False
16; DIED; 0,6748399; 0; 0,09812056; 0,9110132; False
16; DIED; 68,68475; 1; 0,3818382; 0,621169; False
16; DIED; 61,75557; 1; 0,1337609; 0,5734969; False
16; DIED; 60,6698; 1; 0,04328438; 0,942485; False
16; DIED; 60,53333; 1; 0; 0,5780585; False
16; DIED; 60,53333; 1; 0; 0,9623111; False
16; DIED; 33,42222; 0; 0,3894581; 0,3856846; False
16; DIED; 28,39596; 0; 0,2313827; 0,3824624; False
17; DIED; 60,72898; 1; 0,05198262; 0,8034203; False
17; DIED; 64,55384; 1; 0,2540408; 0,7017681; False
17; DIED; 64,40565; 1; 0,2487918; 0,6073173; False
17; DIED; 35,53334; 1; 0,0003383011; 0,8067311; True
17; DIED; 61,38048; 1; 0,1104212; 0,2741134; False
17; DIED; 40,03846; 0; 0,5681136; 0,5713257; False
17; DIED; 28,22832; 0; 0,2250374; 0,5455958; False
17; DIED; 63,43586; 1; 0,2123245; 0,6522421; False
17; DIED; 26,04872; 0; 0,1234372; 0,7324657; False
17; DIED; 30,8374; 0; 0,3137108; 0,5606601; False
17; DIED; 40,87801; 0; 0,5910881; 0,6428905; False
17; DIED; 28,57649; 0; 0,2380828; 0,4289409; False
17; DIED; 39,7606; 1; 0,2612477; 0,1131781; False
17; DIED; 32,72327; 0; 0,3696689; 0,6894563; False
17; DIED; 60,55096; 1; 0,01540953; 0,722043; False
17; DIED; 62,49956; 1; 0,1720864; 0,7219343; False
17; DIED; 66,55872; 1; 0,3195031; 0,6267674; False
17; DIED; 68,56858; 1; 0,3785514; 0,317607; False
17; DIED; 60,646; 1; 0,03927609; 0,4549885; False
17; DIED; 63,86267; 1; 0,2288756; 0,6541318; False
17; DIED; 62,50288; 1; 0,1722415; 0,4163277; False
17; DIED; 26,68148; 0; 0,15832; 0,1325355; False
17; DIED; 60,53333; 1; 0; 0,7901502; False
17; DIED; 37,28166; 0; 0,4941774; 0,5793058; False
17; DIED; 30,52935; 0; 0,3040907; 0,6724772; False
17; DIED; 33,14398; 0; 0,3816279; 0,3781663; False
18; DIED; 61,61427; 1; 0,1254087; 0,1447403; False
18; DIED; 29,03462; 0; 0,254537; 0,9749878; False
18; DIED; 62,3788; 1; 0,1663598; 0,5608931; False
18; DIED; 65,23124; 1; 0,2771972; 0,4016085; True
18; DIED; 62,8729; 1; 0,1889152; 0,5810323; False
18; DIED; 28,85119; 0; 0,2480371; 0,5402725; False
18; DIED; 63,74789; 1; 0,2245107; 0,657593; False
18; DIED; 31,8018; 0; 0,3428758; 0,952107; False
18; DIED; 33,24352; 0; 0,3844361; 0,544276; False
18; DIED; 31,14905; 0; 0,3232831; 0,2277283; False
18; DIED; 65,2522; 1; 0,2778943; 0,5803477; False
18; DIED; 65,41344; 1; 0,2832199; 0,5336985; False
18; DIED; 28,54869; 0; 0,2370598; 0,7251926; False
18; DIED; 64,46851; 1; 0,2510272; 0,4393261; False
18; DIED; 69,5146; 1; 0,4050248; 0,1469813; False
18; DIED; 2,932854; 0; 0,2135308; 0,5194117; False
18; DIED; 79,07359; 2; 0,4886271; 0,336087; False
18; DIED; 67,72905; 1; 0,3544404; 0,8804376; False
18; DIED; 62,10412; 1; 0,152701; 0,2705268; False
18; DIED; 63,39314; 1; 0,2106162; 0,6768313; False
18; DIED; 61,393; 1; 0,1112682; 0,6738337; False
18; DIED; 32,64922; 0; 0,3675477; 0,6550832; False
19; DIED; 65,82322; 1; 0,2964926; 0,6428891; False
19; DIED; 63,75976; 1; 0,224965; 0,6096877; False
19; DIED; 65,53474; 1; 0,2871863; 0,5688823; False
19; DIED; 27,73689; 0; 0,2056444; 0,1759035; False
19; DIED; 72,3353; 1; 0,481377; 0,05861899; False
19; DIED; 2,944804; 0; 0,2140048; 0,4565057; False
19; DIED; 34,24512; 0; 0,412304; 0,708551; False
19; DIED; 25,04799; 0; 0,02551453; 0,6817883; False
19; DIED; 37,29384; 0; 0,4945021; 0,1421122; False
19; DIED; 60,93335; 1; 0,07492605; 0,5541102; False
19; DIED; 37,95705; 0; 0,5121905; 0,6146355; False
19; DIED; 70,09187; 1; 0,4209012; 0,7721151; False
19; DIED; 66,13118; 1; 0,3062442; 0,676079; False
19; DIED; 76,18827; 2; 0,410739; 0,5266645; False
19; DIED; 27,20893; 0; 0,1831641; 0,4741189; False
19; DIED; 63,23159; 1; 0,2040633; 0,7233781; False
19; DIED; 61,89541; 1; 0,1416133; 0,7669623; False
19; DIED; 61,24586; 1; 0,1009242; 0,08648403; False
19; DIED; 64,17985; 1; 0,2406469; 0,05917326; False
19; DIED; 60,88832; 1; 0,07047334; 0,8303125; True
19; DIED; 31,97277; 0; 0,347917; 0,4222681; False
19; DIED; 28,35598; 0; 0,2298808; 0,7610047; False
20; DIED; 63,49644; 1; 0,2147293; 0,4412803; False
20; DIED; 62,35258; 1; 0,1650958; 0,227888; False
20; DIED; 37,34438; 0; 0,49585; 0,3233421; False
20; DIED; 35,68986; 0; 0,4515782; 0,4373466; False
20; DIED; 63,54765; 1; 0,216747; 0,7573978; False
20; DIED; 29,87169; 0; 0,2829434; 0,4832312; False
20; DIED; 63,34015; 1; 0,2084835; 0,5611115; False
20; DIED; 38,07364; 0; 0,5153019; 0,1441965; False
20; DIED; 64,06554; 1; 0,2364515; 0,684823; False
20; DIED; 33,47897; 0; 0,391048; 0,2940291; False
20; DIED; 60,53333; 1; 0; 0,5332764; False
20; DIED; 60,85016; 1; 0,06648492; 0,6764576; False
20; DIED; 72,6131; 1; 0,4887919; 0,4424226; False
